name,capital,languages,population,flag,currency
Saint Pierre and Miquelon,Saint-Pierre,['French'],6069,https://restcountries.eu/data/spm.svg,Euro
Saint Vincent and the Grenadines,Kingstown,['English'],109991,https://restcountries.eu/data/vct.svg,East Caribbean dollar
Samoa,Apia,"['Samoan', 'English']",194899,https://restcountries.eu/data/wsm.svg,Samoan tālā
San Marino,City of San Marino,['Italian'],33005,https://restcountries.eu/data/smr.svg,Euro
Sao Tome and Principe,São Tomé,['Portuguese'],187356,https://restcountries.eu/data/stp.svg,São Tomé and Príncipe dobra
Saudi Arabia,Riyadh,['Arabic'],32248200,https://restcountries.eu/data/sau.svg,Saudi riyal
Senegal,Dakar,['French'],14799859,https://restcountries.eu/data/sen.svg,West African CFA franc
Serbia,Belgrade,['Serbian'],7076372,https://restcountries.eu/data/srb.svg,Serbian dinar
Seychelles,Victoria,"['French', 'English']",91400,https://restcountries.eu/data/syc.svg,Seychellois rupee
Sierra Leone,Freetown,['English'],7075641,https://restcountries.eu/data/sle.svg,Sierra Leonean leone
Singapore,Singapore,"['English', 'Malay', 'Tamil', 'Chinese']",5535000,https://restcountries.eu/data/sgp.svg,Brunei dollar
Sint Maarten (Dutch part),Philipsburg,"['Dutch', 'English']",38247,https://restcountries.eu/data/sxm.svg,Netherlands Antillean guilder
Slovakia,Bratislava,['Slovak'],5426252,https://restcountries.eu/data/svk.svg,Euro
Slovenia,Ljubljana,['Slovene'],2064188,https://restcountries.eu/data/svn.svg,Euro
Solomon Islands,Honiara,['English'],642000,https://restcountries.eu/data/slb.svg,Solomon Islands dollar
Somalia,Mogadishu,"['Somali', 'Arabic']",11079000,https://restcountries.eu/data/som.svg,Somali shilling
South Africa,Pretoria,"['Afrikaans', 'English', 'Southern Ndebele', 'Southern Sotho', 'Swati', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",55653654,https://restcountries.eu/data/zaf.svg,South African rand
South Georgia and the South Sandwich Islands,King Edward Point,['English'],30,https://restcountries.eu/data/sgs.svg,British pound
Korea (Republic of),Seoul,['Korean'],50801405,https://restcountries.eu/data/kor.svg,South Korean won
South Sudan,Juba,['English'],12131000,https://restcountries.eu/data/ssd.svg,South Sudanese pound
Spain,Madrid,['Spanish'],46438422,https://restcountries.eu/data/esp.svg,Euro
Sri Lanka,Colombo,"['Sinhalese', 'Tamil']",20966000,https://restcountries.eu/data/lka.svg,Sri Lankan rupee
Sudan,Khartoum,"['Arabic', 'English']",39598700,https://restcountries.eu/data/sdn.svg,Sudanese pound
Suriname,Paramaribo,['Dutch'],541638,https://restcountries.eu/data/sur.svg,Surinamese dollar
Svalbard and Jan Mayen,Longyearbyen,['Norwegian'],2562,https://restcountries.eu/data/sjm.svg,Norwegian krone
Swaziland,Lobamba,"['English', 'Swati']",1132657,https://restcountries.eu/data/swz.svg,Swazi lilangeni
Sweden,Stockholm,['Swedish'],9894888,https://restcountries.eu/data/swe.svg,Swedish krona
Switzerland,Bern,"['German', 'French', 'Italian']",8341600,https://restcountries.eu/data/che.svg,Swiss franc
Syrian Arab Republic,Damascus,['Arabic'],18564000,https://restcountries.eu/data/syr.svg,Syrian pound
Taiwan,Taipei,['Chinese'],23503349,https://restcountries.eu/data/twn.svg,New Taiwan dollar
Tajikistan,Dushanbe,"['Tajik', 'Russian']",8593600,https://restcountries.eu/data/tjk.svg,Tajikistani somoni
"Tanzania, United Republic of",Dodoma,"['Swahili', 'English']",55155000,https://restcountries.eu/data/tza.svg,Tanzanian shilling
Thailand,Bangkok,['Thai'],65327652,https://restcountries.eu/data/tha.svg,Thai baht
Timor-Leste,Dili,['Portuguese'],1167242,https://restcountries.eu/data/tls.svg,United States dollar
Togo,Lomé,['French'],7143000,https://restcountries.eu/data/tgo.svg,West African CFA franc
Tokelau,Fakaofo,['English'],1411,https://restcountries.eu/data/tkl.svg,New Zealand dollar
Tonga,Nuku'alofa,"['English', 'Tonga (Tonga Islands)']",103252,https://restcountries.eu/data/ton.svg,Tongan pa'anga
Trinidad and Tobago,Port of Spain,['English'],1349667,https://restcountries.eu/data/tto.svg,Trinidad and Tobago dollar
Tunisia,Tunis,['Arabic'],11154400,https://restcountries.eu/data/tun.svg,Tunisian dinar
Turkey,Ankara,['Turkish'],78741053,https://restcountries.eu/data/tur.svg,Turkish lira
